hr,16.dtr9,16.dtr12,20.dtr9,20.dtr12,24.dtr9,24.dtr12,28.dtr9,28.dtr12,32.dtr9,32.dtr12
6,12.0182416,10.6909888,16.0182416,14.6909888,20.0182416,18.6909888,24.0182416,22.6909888,28.0182416,26.6909888
6.5,12.95899777,11.94533036,16.95899777,15.94533036,20.95899777,19.94533036,24.95899777,23.94533036,28.95899777,27.94533036
7,13.88944682,13.18592909,17.88944682,17.18592909,21.88944682,21.18592909,25.88944682,25.18592909,29.88944682,29.18592909
7.5,14.79939455,14.39919273,18.79939455,18.39919273,22.79939455,22.39919273,26.79939455,26.39919273,30.79939455,30.39919273
8,15.67887139,15.57182852,19.67887139,19.57182852,23.67887139,23.57182852,27.67887139,27.57182852,31.67887139,31.57182852
8.5,16.5182416,16.6909888,20.5182416,20.6909888,24.5182416,24.6909888,28.5182416,28.6909888,32.5182416,32.6909888
9,17.30830887,17.74441183,21.30830887,21.74441183,25.30830887,25.74441183,29.30830887,29.74441183,33.30830887,33.74441183
9.5,18.04041706,18.72055608,22.04041706,22.72055608,26.04041706,26.72055608,30.04041706,30.72055608,34.04041706,34.72055608
10,18.70654503,19.60872671,22.70654503,23.60872671,26.70654503,27.60872671,30.70654503,31.60872671,34.70654503,35.60872671
10.5,19.29939455,20.39919273,23.29939455,24.39919273,27.29939455,28.39919273,31.29939455,32.39919273,35.29939455,36.39919273
11,19.81247023,21.08329365,23.81247023,25.08329365,27.81247023,29.08329365,31.81247023,33.08329365,35.81247023,37.08329365
11.5,20.24015072,21.65353429,24.24015072,25.65353429,28.24015072,29.65353429,32.24015072,33.65353429,36.24015072,37.65353429
12,20.57775025,22.103667,24.57775025,26.103667,28.57775025,30.103667,32.57775025,34.103667,36.57775025,38.103667
12.5,20.82157001,22.42876001,24.82157001,26.42876001,28.82157001,30.42876001,32.82157001,34.42876001,36.82157001,38.42876001
13,20.96893866,22.62525154,24.96893866,26.62525154,28.96893866,30.62525154,32.96893866,34.62525154,36.96893866,38.62525154
13.5,21.0182416,22.6909888,25.0182416,26.6909888,29.0182416,30.6909888,33.0182416,34.6909888,37.0182416,38.6909888
14,20.96893866,22.62525154,24.96893866,26.62525154,28.96893866,30.62525154,32.96893866,34.62525154,36.96893866,38.62525154
14.5,20.82157001,22.42876001,24.82157001,26.42876001,28.82157001,30.42876001,32.82157001,34.42876001,36.82157001,38.42876001
15,20.57775025,22.103667,24.57775025,26.103667,28.57775025,30.103667,32.57775025,34.103667,36.57775025,38.103667
