mean_temp,growth_rate_g,fluctuation
19.96923077,0.141285652,0
24.95384615,0.265222324,0
30.03076923,0.337814835,0
20,0.131344137,5
25.01538462,0.266242776,5
30.06153846,0.315252912,5
19.96923077,0.142922738,10
25.01538462,0.243735866,10
30.03076923,0.149662985,10
