temp,dtr,obs,trait
16,0,152.733,life.eggs
20,0,234.467,life.eggs
24,0,410.35,life.eggs
28,0,310.6111,life.eggs
32,0,238.186,life.eggs
36,0,74.394,life.eggs
16,0,37.355426,life.expect
20,0,42.11814,life.expect
24,0,41.1908,life.expect
28,0,28.87252,life.expect
32,0,14.89165,life.expect
36,0,8.904977,life.expect
16,0,4.950225,EFD
20,0,5.96832,EFD
24,0,9.446463,EFD
28,0,11.124748,EFD
32,0,15.315513,EFD
36,0,5.74307,EFD
16,0,0.2003516,bite.rate
20,0,0.282778,bite.rate
24,0,0.3873661,bite.rate
28,0,0.4071588,bite.rate
32,0,0.4484635,bite.rate
36,0,0.4043155,bite.rate
16,9,229.7907,life.eggs
20,9,345.925,life.eggs
24,9,521.9767,life.eggs
28,9,416.8,life.eggs
32,9,193.5854,life.eggs
16,9,38.31205,life.expect
20,9,34.82123,life.expect
24,9,30.25097,life.expect
28,9,21.46597,life.expect
32,9,12.15024,life.expect
16,9,4.493911,EFD
20,9,7.590636,EFD
24,9,11.640642,EFD
28,9,13.726683,EFD
32,9,8.332687,EFD
16,9,0.2186199,bite.rate
20,9,0.3019141,bite.rate
24,9,0.3606761,bite.rate
28,9,0.4059771,bite.rate
32,9,0.3144487,bite.rate
16,12,221.1154,life.eggs
20,12,420.3846,life.eggs
24,12,747.0952,life.eggs
28,12,363.7826,life.eggs
32,12,218.6875,life.eggs
16,12,48.98,life.expect
20,12,49.95,life.expect
24,12,36.86,life.expect
28,12,26.46,life.expect
32,12,10.62511,life.expect
16,12,3.787226,EFD
20,12,7.456395,EFD
24,12,13.17761,EFD
28,12,8.859517,EFD
32,12,9.357021,EFD
16,12,0.1828967,bite.rate
20,12,0.2538706,bite.rate
24,12,0.3442497,bite.rate
28,12,0.3328841,bite.rate
32,12,0.2756681,bite.rate
