day,temperature,mean_temperature
0.336538462,23.66255144,18
0.769230769,14.52674897,18
1.298076923,21.02880658,18
1.826923077,17.16049383,18
2.259615385,20.61728395,18
2.788461538,17.65432099,18
3.269230769,25.88477366,18
3.798076923,12.38683128,18
4.278846154,26.21399177,18
4.807692308,12.05761317,18
5.240384615,24.73251029,18
5.817307692,13.53909465,18
6.25,22.18106996,18
6.826923077,15.92592593,18
7.307692308,22.26337449,18
7.788461538,15.92592593,18
8.317307692,20.69958848,18
8.798076923,17.32510288,18
9.230769231,21.93415638,18
9.807692308,16.25514403,18
10.28846154,20.20576132,18
10.86538462,18.06584362,18
11.29807692,25.22633745,18
11.77884615,12.96296296,18
12.25961538,22.01646091,18
12.83653846,16.09053498,18
13.31730769,20.86419753,18
13.84615385,17.32510288,18
14.27884615,25.0617284,18
14.80769231,13.12757202,18
15.24038462,23.90946502,18
15.76923077,14.36213992,18
16.25,23.49794239,18
16.82692308,14.6090535,18
17.25961538,24.89711934,18
17.78846154,13.3744856,18
18.26923077,22.42798354,18
18.84615385,15.67901235,18
19.27884615,22.18106996,18
19.85576923,15.92592593,18
