time,temperature,fluctuation
0.15123464,16.7661946,10
0.562367713,15.92652072,10
0.985966424,15.18677288,10
1.46287742,15.01823461,10
1.799429994,15.01772001,10
2.28896101,15.01697149,10
2.625541653,15.02879574,10
3.00312239,15.13104257,10
3.392216275,15.81114363,10
3.822464636,16.649531,10
4.252727032,17.49408778,10
4.642040794,18.27084323,10
5.082599996,19.15857043,10
5.512862392,20.00312722,10
5.943124787,20.84768401,10
6.383730771,21.75597597,10
6.772997752,22.51216665,10
7.203246113,23.35055402,10
7.645856254,24.24321364,10
8.063637021,24.98081498,10
8.715021186,26.1911251,10
9.121096146,27.16280955,10
9.508420721,27.96177806,10
9.892550994,28.70152474,10
10.27672337,29.4597797,10
10.69163178,30.27968216,10
11.09426543,31.08356283,10
11.53687277,31.97498856,10
11.92617249,32.74557458,10
12.38204357,33.63944782,10
12.79699409,34.47785857,10
13.14989711,34.94002773,10
13.50176624,34.94771564,10
13.82300226,34.93899852,10
14.15955483,34.93848391,10
14.49610741,34.9379693,10
14.97017216,34.86321103,10
15.4274935,34.15302498,10
15.85393845,33.31949715,10
16.26504345,32.46748441,10
16.67619056,31.63397996,10
17.10263551,30.80045213,10
17.48843124,30.03073743,10
17.94019015,29.11696803,10
18.35133258,28.2814071,10
18.77774946,27.43554041,10
19.2163597,26.56991283,10
19.70663737,25.55243777,10
19.9653721,24.96800086,10
20.87932239,23.24327028,10
21.29042739,22.39125755,10
21.70154643,21.54541424,10
22.12799138,20.7118864,10
22.55443634,19.87835856,10
22.95027157,19.03870808,10
23.37668845,18.19284138,10
23.69648357,17.55072957,10
8.352584538,25.66435701,10
0.160573966,20.87160671,5
0.740575903,20.29216252,5
1.336536875,20.00334359,5
2.009642023,20.00231438,5
2.68274717,20.00128516,5
3.310644926,20.30194264,5
3.862627325,20.85497816,5
4.445261552,21.43264462,5
5.012566746,21.99662463,5
5.579878177,22.5633466,5
6.147182592,23.12698386,5
6.714488565,23.69130661,5
7.315411591,24.23878334,5
7.812202487,24.73947664,5
8.124859019,24.99418199,5
8.983721817,25.95271057,5
9.566343568,26.52489308,5
10.07231891,27.02809496,5
10.63963159,27.59536532,5
11.19160775,28.14565888,5
11.77424198,28.72332533,5
12.34154218,29.28511176,5
12.90885236,29.85128534,5
13.5668967,29.95447432,5
14.24000184,29.95344511,5
14.89781935,29.95692614,5
15.47811673,29.50735155,5
16.05811867,28.92790736,5
16.60759353,28.37867161,5
17.18758923,27.79648545,5
17.73705785,27.24450773,5
18.31706603,26.66780551,5
18.88178883,26.09661062,5
19.44965885,25.56393571,5
20.69809674,24.27590206,5
21.18651745,23.78708317,5
21.73597984,23.23236348,5
22.31598177,22.6529193,5
22.86544416,22.09819961,5
23.44545857,21.52423936,5
19.81661179,25.05967195,5
20.17984024,24.72884133,5
0.231134298,24.9899496,0
0.567686872,24.98943499,0
0.904239445,24.98892039,0
1.240792019,24.98840578,0
1.577344593,24.98789117,0
1.913897166,24.98737657,0
2.25044974,24.98686196,0
2.587002313,24.98634736,0
2.923554887,24.98583275,0
3.260107461,24.98531814,0
3.596660034,24.98480354,0
3.933212608,24.98428893,0
4.269765181,24.98377432,0
4.606317755,24.98325972,0
4.942870329,24.98274511,0
5.279422902,24.9822305,0
5.615975476,24.9817159,0
5.95252805,24.98120129,0
6.289080623,24.98068669,0
6.625633197,24.98017208,0
6.96218577,24.97965747,0
7.298738344,24.97914287,0
7.635212323,24.94407946,0
8.124859019,24.99418199,0
8.461697731,25.11944895,0
8.797927081,24.97685053,0
9.134479655,24.97633592,0
9.471032228,24.97582132,0
9.807584802,24.97530671,0
10.14413738,24.9747921,0
10.48068995,24.9742775,0
10.81724252,24.97376289,0
11.1537951,24.97324828,0
11.49034767,24.97273368,0
11.82690024,24.97221907,0
12.16345282,24.97170446,0
12.50000539,24.97118986,0
12.83655796,24.97067525,0
13.17311054,24.97016065,0
13.50966311,24.96964604,0
13.84621569,24.96913143,0
14.18276826,24.96861683,0
14.51932083,24.96810222,0
14.85587341,24.96758761,0
15.19242598,24.96707301,0
15.52897855,24.9665584,0
15.86553113,24.96604379,0
16.2020837,24.96552919,0
16.53863627,24.96501458,0
16.87518885,24.96449998,0
17.21174142,24.96398537,0
17.54829399,24.96347076,0
17.88484657,24.96295616,0
18.22139914,24.96244155,0
18.55795172,24.96192694,0
18.89450429,24.96141234,0
19.23105686,24.96089773,0
19.56760382,24.95791535,0
19.90078744,24.97084159,0
20.24064143,24.9271981,0
20.57720251,24.93042254,0
20.91381973,24.9583247,0
21.2503723,24.95781009,0
21.58692488,24.95729549,0
21.92347745,24.95678088,0
22.26003003,24.95626627,0
22.5965826,24.95575167,0
22.93313517,24.95523706,0
23.26968775,24.95472245,0
23.60624032,24.95420785,0
23.82041014,24.95388037,0
