fluctuation,temperature,predicted_growth_rate,observed_predicted,observed
0,20,0.696404739,-0.049009521,0.647395218
0,25,1.058671029,0.095823096,1.154494125
0,30,1.391049642,-0.046805897,1.344243745
5,20,0.711392869,-0.119794226,0.591598643
5,25,1.055712379,0.104660627,1.160373006
5,30,1.322185739,-0.029130835,1.293054904
10,20,0.726363282,-0.079983108,0.646380174
10,25,1.007789339,0.069287469,1.077076808
10,30,1.103599986,-0.378501229,0.725098757
