fluctuation,temperature,observed_predicted
0,20,-0.049009521
0,25,0.095823096
0,30,-0.046805897
5,20,-0.119794226
5,25,0.104660627
5,30,-0.029130835
10,20,-0.079983108
10,25,0.069287469
10,30,-0.378501229
