temp,mean,conf_lower,conf_upper
0,-0.0011739032674282829,-0.0011821767390880343,-0.0011666355173640807
0.1,-0.0011666234312426454,-0.0011749884326841763,-0.0011592724533922268
0.2,-0.0011582266403127016,-0.001166680502586705,-0.0011507946836589792
0.3,-0.0011487182500321427,-0.001157258318138004,-0.0011412075522352226
0.4,-0.0011381036327296266,-0.001146727265668753,-0.0011305164200842899
0.5,-0.0011263881778027472,-0.0011350927486324027,-0.0011187266651955345
0.6,-0.0011135772918535985,-0.001122360187741253,-0.001105843682719487
0.7,-0.0010996763988259555,-0.001108535021104158,-0.0010918728851046263
0.8,-0.001084690940144101,-0.0010936227043658762,-0.0010768197022357885
0.9,-0.0010686263748533207,-0.0010776287108481052,-0.0010606895815742391
1,-0.0010514881797620945,-0.0010605585316922138,-0.0010434879882994374
1.1,-0.0010332818495860094,-0.0010424176760037093,-0.001025220405452512
1.2,-0.0010140128970934253,-0.0010232116709984584,-0.0010058923340814858
1.3,-9.936868532529144e-4,-0.0010029460621506976,-9.855092933882712e-4
1.4,-9.723092673825105e-4,-9.816264133428552e-4,-9.640768208774613e-4
1.5,-9.498857073007927e-4,-9.592583070172196e-4,-9.416004725069553e-4
1.6,-9.264217594798309e-4,-9.358473443294778e-4,-9.180858228404388e-4
1.7,-9.019230292000311e-4,-9.113991453041601e-4,-8.935384652017506e-4
1.8,-8.763951407069026e-4,-8.859193489920183e-4,-8.679640118311746e-4
1.9,-8.498437373697832e-4,-8.594136136293693e-4,-8.41368094043672e-4
2,-8.222744818425536e-4,-8.318876167994368e-4,-8.137563623891055e-4
2.1,-7.936930562263731e-4,-8.033470555957245e-4,-7.851344868144688e-4
2.2,-7.64105162234469e-4,-7.737976467874531e-4,-7.555203400971844e-4
2.3,-7.335165213590166e-4,-7.432436981959545e-4,-7.249090629204206e-4
2.4,-7.019328750401407e-4,-7.1168483054113e-4,-6.933050605274793e-4
2.5,-6.693599848370756e-4,-6.79134197160688e-4,-6.607140784661416e-4
2.6,-6.358036326015217e-4,-6.455975975994459e-4,-6.271418825049256e-4
2.7,-6.012696206532299e-4,-6.110808519496964e-4,-5.925942588079084e-4
2.8,-5.657637719578596e-4,-5.755898010299125e-4,-5.570770141118065e-4
2.9,-5.292919303071376e-4,-5.391303065657699e-4,-5.20595975905348e-4
3,-4.918599605013703e-4,-5.01708251373535e-4,-4.831569926109819e-4
3.1,-5.635869092239291e-4,-5.739261248934844e-4,-5.544572207764942e-4
3.2,-6.316341365172945e-4,-6.424552650021912e-4,-6.220862065027599e-4
3.3,-6.960168718608044e-4,-7.073109430497256e-4,-6.86059138917472e-4
3.4,-7.567503901589077e-4,-7.685084759666385e-4,-7.463912524234462e-4
3.5,-8.138500120918269e-4,-8.260632266161101e-4,-8.030978270478564e-4
3.6,-8.673311044703908e-4,-8.799906041502895e-4,-8.561941887956222e-4
3.7,-9.172090805950942e-4,-9.303060643708803e-4,-9.056957100069987e-4
3.8,-9.634994006194504e-4,-9.77025110094047e-4,-9.516178097194422e-4
3.9,-0.0010062175719177152,-0.0010201632915197096,-9.939759540338222e-4
4,-0.0010453791494570354,-0.001059736206605289,-0.0010327837769219853
4.1,-0.0010809997361741113,-0.0010957595014439898,-0.0010680562052328853
4.2,-0.0011130949833564343,-0.0011282488706476801,-0.0010998106164514885
4.3,-0.0011416805910281797,-0.001157220057734453,-0.0011280626733790175
4.4,-0.001166772308340824,-0.0011826888555209378,-0.001152828087796182
4.5,-0.0011883859339685712,-0.0012046711065194428,-0.0011741226208571024
4.6,-0.0012065373165086614,-0.0012231827033400088,-0.001191962083488103
4.7,-0.0012212423548866474,-0.0012382395890974541,-0.0012063623367914434
4.8,-0.0012325169987667146,-0.0012498577578234967,-0.001217339292454074
4.9,-0.0012403772489671381,-0.0012580532548840302,-0.0012249089131615007
5,-0.0012448391578809457,-0.0012628421774016426,-0.0012290872130168364
5.1,-0.001245918829901895,-0.0012642406746834747,-0.0012298902579651338
5.2,-0.0012436324218558395,-0.0012622649486544939,-0.0012273341662230874
5.3,-0.0012379961434375744,-0.0012569312542962832,-0.0012214351087141903
5.4,-0.00122902625765327,-0.001248255900091442,-0.0012122093095094462
5.5,-0.0012167390812685625,-0.001236255248473678,-0.0011996730462737143
5.6,-0.0012011509852624237,-0.0012209457162837135,-0.001183842650717809
5.7,-0.001182278395286895,-0.0012023437752310762,-0.0011647345090564309
5.8,-0.0011601377921327879,-0.001180465952361906,-0.0011423650624720362
5.9,-0.0011347457122014638,-0.0011553288305328586,-0.0011167491101604962
6,-0.0011061187479827772,-0.0011269490488912167,-0.0010878781810857983
6.1,-0.0010742735485393163,-0.001095343303361332,-0.0010557953133746906
6.2,-0.001039226819997034,-0.0010605283471374885,-0.001020517179902767
6.3,-0.0010009953260423834,-0.0010225209911833126,-9.820605109712216e-4
6.4,-9.595958884260847e-4,-9.81338104737848e-4,-9.404420948092134e-4
6.5,-9.150453874736186e-4,-9.369966158283977e-4,-8.956787780829383e-4
6.6,-8.673607626025915e-4,-8.895135117902711e-4,-8.478084933754697e-4
6.7,-8.165590128470761e-4,-8.389058397935533e-4,-7.968325075154691e-4
6.8,-7.62657197389063e-4,-7.851992000956273e-4,-7.427627994563314e-4
6.9,-7.056724360971529e-4,-7.284033563121064e-4,-6.856164499741234e-4
7,-6.456219100726051e-4,-6.685345037922679e-4,-6.254106009027904e-4
7.1,-5.825228622028975e-4,-6.056099312668683e-4,-5.6216245568576e-4
7.2,-5.16392597722921e-4,-5.396469900216888e-4,-4.958892799351574e-4
7.3,-4.4724848478395855e-4,-4.7066309446884184e-4,-4.266084019987516e-4
7.4,-3.751079550305776e-4,-3.9867572272605866e-4,-3.5433721353480353e-4
7.5,-2.999885041855982e-4,-3.237024172040642e-4,-2.7909317009494297e-4
7.6,-2.2190769264328366e-4,-2.457607852022325e-4,-2.00893791715229e-4
7.7,-1.4088314607089373e-4,-1.648684995126422e-4,-1.1975666351555132e-4
7.8,-5.6932556018780486e-5,-8.104329903271783e-5,-3.569943630752064e-5
7.9,2.9926319460828594e-5,5.697010613402628e-6,5.1260172788980485e-5
8,1.1967565518619602e-4,9.533455644459658e-5,1.4110437972044096e-4
8.1,2.1229755820941117e-4,1.8785139748341237e-4,2.338153328653667e-4
8.2,3.0777406717052546e-4,2.83229524107484e-4,3.293751123907756e-4
8.3,4.060871516423208e-4,3.814508573915228e-4,4.2776572959936306e-4
8.4,5.072187114655156e-4,4.8249724843970037e-4,5.289691262671432e-4
8.5,6.111505760742387e-4,5.863504777082508e-4,6.329671739714032e-4
8.6,7.178645038115631e-4,6.929922543180847e-4,7.397416734087753e-4
8.7,8.273421812349258e-4,8.024042153572221e-4,8.492743537032131e-4
8.8,9.395652224112143e-4,9.145679251728617e-4,9.615468717037095e-4
8.9,0.0010545151682013257,0.0010294648746528464,0.0010765408112715135
9,0.0011721734855340016,0.0011470764804963627,0.0011942376825566845
9.1,0.0012925215666686944,0.0012673693412702817,0.0013146482372543254
9.2,0.001415540728447278,0.0013903328502426814,0.0014377417098263134
9.3,0.0015412122115343477,0.0015159547017411185,0.0015634824372846344
9.4,0.0016695171796459079,0.0016442160130769393,0.0016918516168388266
9.5,0.001800436718766189,0.0017750978235938724,0.001822830368120875
9.6,0.0019339518363523647,0.0019085810938698226,0.0019563997323917017
9.7,0.00207004346052691,0.0020446467049062404,0.002092540671735323
9.8,0.002208692439257347,0.0021832754573048447,0.0022312340682404293
9.9,0.002349879539523134,0.0023244480704314083,0.0023724607231691386
10,0.0024935854464694014,0.002468145181566353,0.0025162013561126203
10.1,0.0026397907625472826,0.0026143473450418713,0.0026624366041333725
10.2,0.0027884760066405443,0.0027630350313652802,0.0028110681819257036
10.3,0.0029396216131782333,0.0029141914839106308,0.002962137301723416
10.4,0.0030932079312330292,0.0030678092746600745,0.0031156812156455374
10.5,0.0032492152236050288,0.003223853864189397,0.0032716622251952898
10.6,0.003407623665890603,0.0033823053739028223,0.003430039181643692
10.7,0.003568413345536052,0.003543143836754906,0.003590792217458991
10.8,0.003731564260875684,0.0037063559532580456,0.0037539013762328418
10.9,0.0038970563201540125,0.003871947241411737,0.003919357630203873
11,0.00406486934053171,0.004039865068870458,0.004087107786774484
11.1,0.004234983047074956,0.004210088448297639,0.0042571646724875985
11.2,0.004407377071727803,0.004382580174085773,0.004429496947017807
11.3,0.0045820309522672355,0.004557267143039209,0.004604084194621769
11.4,0.004758924131240424,0.0047341992033666375,0.004780910461707945
11.5,0.004938035954883919,0.0049133567921805345,0.004959975007814282
11.6,0.005119345672024236,0.005094763277494941,0.0051412326684626775
11.7,0.0053028324329594985,0.005278352913543012,0.005324662632108283
11.8,0.005488475288321696,0.005464103739427834,0.005510243987719204
11.9,0.005676253187919022,0.0056519946465394,0.0056979557236208015
12,0.005866144979558,0.005842004423908536,0.0058877767263197985
12.1,0.006058129407844738,0.006034111757003052,0.006079673196030766
12.2,0.006252185112964953,0.006228292154754528,0.006273601752016158
12.3,0.0064482906294422455,0.00642449027373873,0.006469575802157087
12.4,0.006646424384874022,0.006622701724416895,0.006667610398572155
12.5,0.0068465646986446875,0.006822979818634799,0.006867640556114763
12.6,0.007048689780615396,0.007025212948613768,0.007069614319480968
12.7,0.007252777729789913,0.007229373295196033,0.007273590587144311
12.8,0.007458806532956001,0.007435478976200363,0.007479530320811911
12.9,0.0076667540633016205,0.007643507822390542,0.007687384673736453
13,0.00787659807900552,0.007853437549297577,0.007897131443967345
13.1,0.008088316221801381,0.008065245755781112,0.008108748313318113
13.2,0.008301886015515014,0.00827890047441703,0.008322203874448108
13.3,0.00851728486457388,0.008494370378490641,0.00853746755642504
13.4,0.008734490052488187,0.008711673297446878,0.00875455613048481
13.5,0.008953478740302986,0.008930752773381751,0.008973466240374185
13.6,0.009174227965020352,0.009151630514263119,0.009194082815830572
13.7,0.00939671463799104,0.009374205523013686,0.00941648888677914
13.8,0.009620915543274756,0.009598538744612932,0.009640606399676128
