temp,mean,conf_lower,conf_upper
21.1,2.3120709072787857,2.2619515380496855,2.3613384015462877
21.2,2.308371754936095,2.2581928458444764,2.357716466687993
21.3,2.304627448259588,2.254296244444441,2.3538046851183805
21.4,2.300837987249264,2.2504182291465256,2.3499069318779844
21.5,2.2970033719051237,2.2465922157262987,2.3461490279999517
21.6,2.293123602227167,2.2428231220605257,2.342315131755277
21.7,2.289198678215393,2.238704004732412,2.3384990762109252
21.8,2.2852285998698028,2.2346682152761006,2.3345599322357176
21.9,2.2812133671903956,2.2306178632352855,2.330493156417202
22,2.2771529801771724,2.2264691245974695,2.3265029692984323
22.1,2.273047438830132,2.222379434333985,2.322347675302727
22.2,2.268896743149275,2.2179475303331935,2.3181485311062158
22.3,2.2647008931346018,2.2134751168962037,2.313966807897371
22.4,2.2604598887861114,2.208977496087281,2.3099849701129953
22.5,2.2561737301038045,2.204518455651618,2.305978608013819
22.6,2.2518424170876807,2.2000318058309962,2.3017719099083154
22.7,2.247465949737741,2.195574916232293,2.2976676450131617
22.8,2.2430443280539847,2.1909755745053108,2.293395779480456
22.9,2.2385775520364115,2.186301168283291,2.2894886529252476
23,2.234065621685021,2.1816253609235248,2.2852137973754383
23.1,2.229508536999815,2.176883066022561,2.2812078166745464
23.2,2.2249062979807914,2.1720901449130894,2.27715564758636
23.3,2.220258904627952,2.1672568742617306,2.2727727129761326
23.4,2.2155663569412956,2.1624117218432692,2.2682081442661377
23.5,2.2108286549208223,2.157421484350812,2.2637173115693527
23.6,2.2060457985665325,2.1523165928302603,2.2592602215036184
23.7,2.201217787878426,2.1470094918307465,2.25493754847578
23.8,2.196344622856503,2.141747471640347,2.2505239604403604
23.9,2.1914263035007635,2.136606688902254,2.245786734734372
24,2.186462829811207,2.1312254588031374,2.241314910653963
24.1,2.181454201787834,2.1258380121571596,2.2366659651117513
24.2,2.1764004194306446,2.1205075425150213,2.232000399059242
24.3,2.171301482739639,2.114827211950608,2.2273967282842158
24.4,2.1661573917148162,2.109248694881966,2.222837803548847
24.5,2.1609681463561765,2.1034763318149476,2.218279691606652
24.6,2.1557337466637203,2.0978551166619477,2.2136127356151944
24.7,2.1504541926374476,2.0919091074326466,2.208881670928146
24.8,2.1451294842773585,2.0859388382283175,2.204234978607239
24.9,2.1397596215834525,2.080084367401887,2.1995367198496445
25,2.13434460455573,2.074029833202081,2.194780013404026
25.1,2.1288844331941905,2.0679706559875677,2.189978075564185
25.2,2.1233791074988346,2.061774440563932,2.1851419971184223
25.3,2.1178286274696627,2.055511534416617,2.180326635865829
25.4,2.1122329931066735,2.0493115700799587,2.1755747202211273
25.5,2.1065922044098677,2.0430050316737773,2.1706774656822114
25.6,2.100906261379245,2.036522597626723,2.165823205882244
25.7,2.095175164014806,2.0299470123165277,2.160764754234817
25.8,2.0893989123165513,2.023323527264553,2.1557781239309817
25.9,2.0835775062844784,2.016648492024946,2.150685591939744
26,2.0777109459185894,2.0099981252193544,2.1455356578091567
26.1,2.0717992312188835,2.0033743166518967,2.1403696926067552
26.2,2.0658423621853617,1.996710659009624,2.135202320574818
26.3,2.0598403388180233,1.9900204496220724,2.1299295010007953
26.4,2.053793161116868,1.9833070144714071,2.1246765689112
26.5,2.0477008290818954,1.9764383997355846,2.119642456515243
26.6,2.041563342713107,1.969522084746814,2.114566898688777
26.7,2.0353807020105017,1.9624449302939655,2.109438456170459
26.8,2.0291529069740797,1.955203009666951,2.104289413012016
26.9,2.022879957603841,1.9481280239807028,2.099125097798624
27,2.016561853899786,1.9408361773035152,2.093797899081924
27.1,2.0101985958619144,1.9335920290631572,2.088320355414712
27.2,2.0037901834902256,1.9262331734798122,2.082825688771444
27.3,1.9973366167847204,1.9188036170420593,2.077178103679784
27.4,1.9908378957453987,1.9114733356736169,2.071428617002311
27.5,1.9842940203722603,1.9037898416865118,2.065777292348777
27.6,1.9777049906653053,1.896233083200387,2.060147976266266
27.7,1.971070806624534,1.8885866936006657,2.0544430503903097
27.8,1.9643914682499455,1.8809612465498309,2.048639707288395
27.9,1.9576669755415408,1.8732435525405797,2.042916741356418
28,1.9508973284993192,1.8655209150520617,2.0370529368017056
28.1,1.944082527123281,1.8576294604803563,2.031194704246203
28.2,1.9372225714134264,1.8497502606922542,2.025174892032827
28.3,1.9303174613697545,1.8418240096682446,2.019250898482289
28.4,1.9233671969922668,1.8337671073914752,2.0133746468995097
28.5,1.916371778280962,1.8258610236420736,2.0075379130451694
28.6,1.9093312052358407,1.8178019277064568,2.001840733187277
28.7,1.9022454778569027,1.809700154819636,1.9959604297604387
28.8,1.8951145961441482,1.8015592554877342,1.9899879641923972
28.9,1.8879385600975769,1.7932271245047655,1.9839918130369396
29,1.880717369717189,1.7850319320812462,1.9779991218008797
29.1,1.8734510250029845,1.776692199897158,1.9719638804689743
29.2,1.8661395259549636,1.768416956826903,1.9657829913445166
29.3,1.858782872573126,1.7599663833438977,1.959755008606734
29.4,1.8513810648574716,1.7514600715450777,1.953606787867344
29.5,1.8439341028080003,1.7429427928013081,1.9474423376887948
29.6,1.8364419864247126,1.7344605649890124,1.9412820103628623
29.7,1.8289047157076084,1.7257506166795746,1.9348984824875117
29.8,1.8213222906566875,1.7170386503026414,1.9283879015439385
29.9,1.8136947112719501,1.708307442876983,1.9218288036092952
30,1.8060219775533959,1.69960648877555,1.9152266765441042
30.1,1.7983040895010252,1.6908588616700655,1.908686413294311
30.2,1.7905410471148377,1.6820642484075634,1.9020662131713857
30.3,1.7827328503948339,1.6732226489880435,1.895462141800741
30.4,1.774879499341013,1.6643340634115051,1.8887919812093206
30.5,1.7669809939533758,1.655316724349747,1.8820290609607504
30.6,1.7590373342319217,1.6462315358575201,1.8752199633476256
30.7,1.751048520176651,1.6370996614839004,1.8682642733955
30.8,1.743014551787564,1.6279530687508819,1.8611987761642488
30.9,1.73493542906466,1.6185952620239852,1.8540857670278772
31,1.7268111520079394,1.6091989392675115,1.846974579631736
31.1,1.7186417206174023,1.599874278262749,1.839878927214779
31.2,1.7104271348930484,1.5905083129278514,1.8327429851157033
31.3,1.7021673948348783,1.5811003930444976,1.825531327516753
31.4,1.6938625004428915,1.5716474476962392,1.8183078350117805
31.5,1.6855124517170876,1.5621221668971315,1.8109932341031232
31.6,1.677117248657467,1.5525256168380936,1.8036324300052837
