temp,mean,conf_lower,conf_upper
0,-585.3148682729944,-854.0258830400271,-321.753863189101
0.1,-582.9572726295165,-850.6753338420715,-320.4275714760991
0.2,-580.6091514178546,-847.3406829728767,-319.0999273628616
0.3,-578.2705046380088,-844.0404877296427,-317.77302757911934
0.4,-575.941332289979,-840.762285426232,-316.45638374567983
0.5,-573.4068771531638,-837.1748038905002,-315.0225446073162
0.6,-570.6679287635482,-833.2973420712036,-313.4720804613629
0.7,-567.9400338777177,-829.4194193117283,-311.93202493866806
0.8,-565.2231924956727,-825.5504493623032,-310.3962196383873
0.9,-562.517404617413,-821.7033404192641,-308.8626119433628
1,-559.8226702429388,-817.8731242537186,-307.3289497354216
1.1,-557.13898937225,-814.0667438406253,-305.800816483573
1.2,-554.4663620053464,-810.2978881833178,-304.2779561112471
1.3,-551.5900309216269,-806.2338105966876,-302.64739966461167
1.4,-548.5107856570761,-801.8742420524732,-300.90126099286675
1.5,-545.4441729682801,-797.515450693825,-299.15825936065715
1.6,-542.3901928552388,-793.1834989259911,-297.42219209063825
1.7,-539.348845317952,-788.8669613175196,-295.6933280262956
1.8,-536.3201303564201,-784.5769220935906,-293.9663027679839
1.9,-533.0892907500415,-779.9995869967684,-292.1165059198226
2,-529.8718732554023,-775.4502409193474,-290.2740440901596
2.1,-526.6678778725026,-770.9265329606027,-288.4471990673276
2.2,-523.4773046013421,-766.4179220195913,-286.63156095933044
2.3,-520.0853962213198,-761.6064547073603,-284.70911022887265
2.4,-516.7076994890214,-756.8076220959065,-282.7924298886249
2.5,-513.1294571838458,-751.7232635105231,-280.76363269458176
2.6,-509.5662160623789,-746.6842456752361,-278.74935453676807
2.7,-506.0179761246207,-741.669972988496,-276.7295913482965
2.8,-502.4847373705712,-736.6728169780409,-274.70019206598425
2.9,-498.75174257962914,-731.3925023500847,-272.5614051332347
3,-495.0345385083805,-726.1416739588958,-270.4237393179088
3.1,-491.3331251568252,-720.9058988983049,-268.30410805259606
3.2,-487.6475025249633,-715.676723263987,-266.204204293294
3.3,-483.7629133921934,-710.1570946816944,-263.9864235118323
3.4,-479.6801472945002,-704.3575443275323,-261.6591674939612
3.5,-475.6147509884698,-698.6009320982262,-259.34426009541295
3.6,-471.56672447410216,-692.8827296127694,-257.04090208549
3.7,-467.3213105307958,-686.8689640807276,-254.62181058594518
3.8,-463.09405591513695,-680.8797025522554,-252.21561106910673
3.9,-458.8849606271254,-674.9209152916173,-249.80172119643794
4,-454.47926744615995,-668.684819697294,-247.2828744555947
4.1,-450.0925231288266,-662.4684292642012,-244.783341320679
4.2,-445.7247276751253,-656.2740285426675,-242.28241159555162
4.3,-441.375881085056,-650.109673684883,-239.8036233385569
4.4,-437.0459833586188,-643.9932666157156,-237.33517396342208
4.5,-432.7350344958137,-637.9034207340715,-234.8748813119591
4.6,-428.4430344966406,-631.8448736035671,-232.42892726800858
4.7,-424.16998336109964,-625.8077514019093,-230.00297318851335
4.8,-419.9158810891907,-619.8013361552722,-227.57851264341136
4.9,-415.68072768091383,-613.8204749693826,-225.17188754681342
5,-411.464523136269,-607.8562682954444,-222.77831147570978
5.1,-407.2672674552563,-601.9046203251678,-220.3976003290594
5.2,-403.08896063787563,-595.9804580751698,-218.01706566503267
5.3,-398.92960268412696,-590.0948115078105,-215.64786484516677
5.4,-394.78919359401044,-584.2418528418988,-213.2743614286941
5.5,-390.66773336752595,-578.4053299626396,-210.9146654218888
5.6,-386.5652220046735,-572.5981133186775,-208.56993898964902
5.7,-382.48165950545314,-566.8123676184128,-206.24935571960313
5.8,-378.41704586986486,-561.0429529501931,-203.95741841761892
5.9,-374.3713810979086,-555.2928510834543,-201.67651949323476
6,-370.3446651895845,-549.5738681706372,-199.4091193430023
6.1,-366.33689814489236,-543.8874794233681,-197.15349427708568
6.2,-362.34807996383233,-538.2429202212656,-194.87052921518193
6.3,-358.37821064640434,-532.6308286317725,-192.59938553585107
6.4,-354.42729019260844,-527.0407723832808,-190.33727350394295
6.5,-350.4953186024446,-521.4758039533715,-188.08795490279294
6.6,-346.5822958759128,-515.949925756011,-185.87086049398536
6.7,-342.6882220130131,-510.4428768362048,-183.66286924536718
6.8,-338.81309701374545,-504.96471570371784,-181.45859323795773
6.9,-334.9569208781098,-499.517611738971,-179.262022032703
7,-331.1196936061063,-494.09832199976427,-177.0648415963844
7.1,-327.30141519773485,-488.71029097512366,-174.85820752981695
7.2,-323.50208565299545,-483.3507017800631,-172.6589778622868
7.3,-319.72170497188813,-478.0168135204224,-170.4733336791274
7.4,-315.96027315441285,-472.70673189217285,-168.30687500644115
7.5,-312.21779020056965,-467.4243816563863,-166.1714360045552
7.6,-308.4942561103585,-462.17823853249615,-164.03748984893488
7.7,-304.7896708837794,-456.9509667011735,-161.90796186572263
7.8,-301.10403452083244,-451.7403271789348,-159.77606993088892
7.9,-297.43734702151744,-446.5524024255902,-157.64477472417084
8,-293.7896083858346,-441.40056446775276,-155.52946297328052
8.1,-290.16081861378376,-436.2759028757031,-153.43413846575785
8.2,-286.55097770536497,-431.1705708361023,-151.35268693572723
8.3,-282.9600856605783,-426.0965590359994,-149.28343974705453
8.4,-279.38814247942366,-421.05817949732875,-147.21889220756083
8.5,-275.8351481619011,-416.0392630833978,-145.17745038666294
8.6,-272.3011027080106,-411.04195188451786,-143.15392635115853
8.7,-268.78600611775215,-406.0702466332219,-141.14432150356765
8.8,-265.2898583911258,-401.12300524324706,-139.13007773732124
8.9,-261.81265952813146,-396.2050610469083,-137.120574795323
9,-258.3544095287692,-391.31503784120366,-135.12017706080883
9.1,-254.91510839303905,-386.44506825154394,-133.13317953558177
9.2,-251.49475612094093,-381.605907718606,-131.16535589779622
9.3,-248.09335271247488,-376.7888948155201,-129.21273620057062
9.4,-244.7108981676409,-371.9959532369578,-127.27045820707505
9.5,-241.34739248643896,-367.23112251824074,-125.36214749809425
9.6,-238.0028356688691,-362.4802381838488,-123.45338131093274
9.7,-234.6772277149313,-357.75100921308706,-121.54415392353832
9.8,-231.37056862462555,-353.0632176994311,-119.65140900968994
9.9,-228.08285839795187,-348.39178277256207,-117.75620724612384
10,-224.81409703491028,-343.737564548953,-115.87120372705905
10.1,-221.56428453550075,-339.1104972007651,-114.01116179930145
10.2,-218.33342089972325,-334.49673829553757,-112.14191396377608
10.3,-215.12150612757785,-329.9134691068068,-110.29311861516791
10.4,-211.92854021906447,-325.38614035254966,-108.46726405683684
10.5,-208.7545231741832,-320.87560626653936,-106.6358294228668
10.6,-205.59945499293397,-316.38759784235504,-104.81047199727824
10.7,-202.4633356753168,-311.9310065136438,-102.99774776943111
10.8,-199.34616522133172,-307.50891936157154,-101.2051617627433
10.9,-196.24794363097868,-303.09698990395225,-99.42228206342354
11,-193.16867090425774,-298.7205595518936,-97.65185133116547
11.1,-190.10834704116883,-294.3603874567112,-95.89638358790788
11.2,-187.06697204171198,-290.0361926817271,-94.1541107848713
11.3,-184.04454590588722,-285.7432551068835,-92.41137251612568
11.4,-181.0410686336945,-281.46107360060336,-90.65294193441267
11.5,-178.05654022513386,-277.2118775822653,-88.91801498523702
11.6,-175.09096068020528,-272.9919713726032,-87.20091012149712
11.7,-172.14432999890874,-268.79934180221056,-85.48935363129895
11.8,-169.2166481812443,-264.6235818321273,-83.79279316902078
11.9,-166.3079152272119,-260.5003161549326,-82.11501940680664
12,-163.41813113681158,-256.3867690000847,-80.44737493143084
12.1,-160.54729591004332,-252.29388099434237,-78.78945660210232
12.2,-157.69540954690711,-248.2277760452877,-77.1321858583532
12.3,-154.86247204740297,-244.1794160357702,-75.48748358818553
12.4,-152.04848341153092,-240.15735176153532,-73.84269538953863
12.5,-149.2534436392909,-236.16865466657362,-72.20980714050704
12.6,-146.47735273068295,-232.23242233489773,-70.57610727127839
12.7,-143.7202106857071,-228.3042505323321,-68.955847324939
12.8,-140.98201750436328,-224.37892198203315,-67.34327285497186
12.9,-138.26277318665151,-220.49353016598843,-65.73182021087739
13,-135.56247773257184,-216.61265958199397,-64.1466266772964
13.1,-132.88113114212422,-212.77384451970062,-62.58998183103132
13.2,-130.21873341530863,-208.98905025684675,-61.05879829623472
13.3,-127.57528455212515,-205.2384979915869,-59.51719285566917
13.4,-124.95078455257372,-201.49235191856724,-57.953785242733176
13.5,-122.34523341665435,-197.7717243287433,-56.398873320207926
13.6,-119.75863114436706,-194.0685420574171,-54.84468285065495
13.7,-117.19097773571181,-190.38880545898485,-53.323867108072704
13.8,-114.64227319068864,-186.72759040796947,-51.81833189955686
13.9,-112.11251750929753,-183.11533846550486,-50.27719418864926
14,-109.60171069153849,-179.52331771525846,-48.78147366188345
14.1,-107.1098527374115,-176.01509104658217,-47.31711867146108
14.2,-104.63694364691658,-172.51170444046153,-45.833285457722525
14.3,-102.18298342005373,-169.04632123250198,-44.364350481873785
14.4,-99.74797205682293,-165.59475775178623,-42.90506527088549
14.5,-97.33190955722421,-162.16206002121507,-41.42850638317792
14.6,-94.93479592125755,-158.75965930195076,-39.978808150438226
14.7,-92.55663114892295,-155.37702727735763,-38.55344978590867
14.8,-90.19741524022041,-151.98799554971202,-37.096846126845925
14.9,-87.85714819514993,-148.6744563577439,-35.66028059823557
15,-85.53583001371153,-145.36668710249913,-34.26938511103258
15.1,-83.2334606959052,-142.1247180086218,-32.8597469525462
15.2,-80.9500402417309,-138.9077492658763,-31.45917125705477
