temp,mean,conf_lower,conf_upper
0,-1.894525960462688e-4,-1.9700081220995377e-4,-1.824231584183098e-4
0.1,-1.923042865862387e-4,-1.9999788673181326e-4,-1.8513726588479182e-4
0.2,-1.9503373472997193e-4,-2.0286961865517703e-4,-1.8773193037524962e-4
0.3,-1.9764150215002311e-4,-2.0561658284133397e-4,-1.9020770496777127e-4
0.4,-2.0012815242468593e-4,-2.0823935610359817e-4,-1.9256514284712723e-4
0.5,-2.024942510547334e-4,-2.1073851722448498e-4,-1.9480479800391496e-4
0.6,-2.047403654803833e-4,-2.131146469731186e-4,-1.9692722632876636e-4
0.7,-2.0686706509849193e-4,-2.1536832812287456e-4,-1.9893298562917775e-4
0.8,-2.0958432511253164e-4,-2.1823412183353326e-4,-2.0150910038162505e-4
0.9,-2.1217038337167793e-4,-2.2096538242216115e-4,-2.0395705955906818e-4
1,-2.14625860655945e-4,-2.2356274525384118e-4,-2.0627747113307718e-4
1.1,-2.169513799002853e-4,-2.2602684790109696e-4,-2.0847094518569757e-4
1.2,-2.1914756621393386e-4,-2.28358330163744e-4,-2.1053809392837907e-4
1.3,-2.2121504690001813e-4,-2.3055783408901346e-4,-2.124795317211633e-4
1.4,-2.2315445147543794e-4,-2.3262600399195398e-4,-2.142955958840388e-4
1.5,-2.2567581552357155e-4,-2.3529746284038842e-4,-2.1667356930577902e-4
1.6,-2.2805743753613413e-4,-2.3782562702864203e-4,-2.1891504462975427e-4
1.7,-2.3029999920112922e-4,-2.4021119427116585e-4,-2.210206923578336e-4
1.8,-2.3240418462980894e-4,-2.4245486476490047e-4,-2.2299118360489967e-4
1.9,-2.34370680378925e-4,-2.4455734121211315e-4,-2.2482719080337967e-4
2,-2.3620017547329225e-4,-2.4651932884355677e-4,-2.2652938880292464e-4
2.1,-2.3789336142867004e-4,-2.4834153544195603e-4,-2.280984548927984e-4
2.2,-2.3945093227496775e-4,-2.500246713658265e-4,-2.295350688245835e-4
2.3,-2.4087358457978026e-4,-2.5156944957363363e-4,-2.3083990747954723e-4
2.4,-2.4287142130481064e-4,-2.5371056201257004e-4,-2.327001231847508e-4
2.5,-2.4472280865150834e-4,-2.557014943961678e-4,-2.3441733158459661e-4
2.6,-2.4713790018541425e-4,-2.582769904661448e-4,-2.36678731567277e-4
2.7,-2.4939511288845316e-4,-2.6069058791154106e-4,-2.3878598727107212e-4
2.8,-2.514952474523906e-4,-2.62943106268e-4,-2.4073960338650736e-4
2.9,-2.5414851134393984e-4,-2.657693444501541e-4,-2.4322703086559762e-4
3,-2.5663337565412384e-4,-2.684228955330628e-4,-2.4555003647065e-4
3.1,-2.5895069539385093e-4,-2.7090463465366966e-4,-2.477094573279181e-4
3.2,-2.611013287286223e-4,-2.7321544018112727e-4,-2.497061282963815e-4
3.3,-2.6308613700865686e-4,-2.753561937477255e-4,-2.5154089555490396e-4
3.4,-2.656153886320073e-4,-2.780617566445455e-4,-2.5390106604916224e-4
3.5,-2.6796761589699896e-4,-2.8058578460606005e-4,-2.5608814036454997e-4
3.6,-2.7014373530093335e-4,-2.8292921571480747e-4,-2.581032162108603e-4
3.7,-2.7214466677797836e-4,-2.850929915749868e-4,-2.599472385859828e-4
3.8,-2.7397133373252894e-4,-2.870780573467143e-4,-2.616211144851541e-4
3.9,-2.763340669056159e-4,-2.8961933814506237e-4,-2.638122173089783e-4
4,-2.785114612306938e-4,-2.919705538281035e-4,-2.658223853900092e-4
4.1,-2.805044961357525e-4,-2.9413254732612524e-4,-2.676525775890647e-4
4.2,-2.8302355861722526e-4,-2.968401204213009e-4,-2.699902158033506e-4
4.3,-2.853473000983016e-4,-2.993473217016189e-4,-2.721371963704426e-4
4.4,-2.874767567336067e-4,-3.016551063244627e-4,-2.74094939408505e-4
4.5,-2.901223724857207e-4,-3.044985631319603e-4,-2.7655229554196363e-4
4.6,-2.9256285598614715e-4,-3.071316391975149e-4,-0.00027880926642858387
4.7,-2.95508704675245e-4,-3.1028943310570093e-4,-2.815543302885305e-4
4.8,-2.982386808703675e-4,-3.1322583622725865e-4,-2.8408928193326835e-4
4.9,-3.014633359079849e-4,-3.1667594646588753e-4,-2.871008259143381e-4
5,-3.0517089004660175e-4,-3.2062762663965936e-4,-2.9057771922103975e-4
5.1,-3.093496134325669e-4,-3.250689589683255e-4,-2.945085821308493e-4
5.2,-3.132784224399734e-4,-3.2925394201489507e-4,-2.981957956798625e-4
5.3,-3.169586191907845e-4,-3.331837953133619e-4,-3.0164101765747906e-4
5.4,-3.2039151080940416e-4,-3.368599047506187e-4,-3.0484460154215276e-4
5.5,-3.235784094730001e-4,-3.4028372439237186e-4,-3.078082978474051e-4
5.6,-3.265206324626102e-4,-3.4346079115620096e-4,-3.105341873663346e-4
5.7,-3.2921950221504923e-4,-3.463891370859148e-4,-3.1302336766880664e-4
5.8,-3.316763463756328e-4,-3.490662342115984e-4,-3.1527638489163855e-4
5.9,-3.338924978517349e-4,-3.5149816058137724e-4,-3.1729436915123104e-4
6,-3.3586929486719775e-4,-3.5368341809038423e-4,-3.1907879306302967e-4
6.1,-3.3760808101761144e-4,-3.556230434002036e-4,-3.2063095947387456e-4
6.2,-3.3911020532648216e-4,-3.573198324013252e-4,-3.219525670926236e-4
6.3,-3.4037702230230827e-4,-3.5877527975142545e-4,-3.2304785283395073e-4
6.4,-3.414098919965834e-4,-3.599921756577229e-4,-3.2391535996196933e-4
6.5,-3.422101800627476e-4,-3.609708109112987e-4,-3.2455768001598244e-4
6.6,-3.4277925781610633e-4,-3.617108285883501e-4,-3.249754381981262e-4
6.7,-3.43118502294739e-4,-3.622165088112197e-4,-3.251687272402163e-4
6.8,-3.432292963214193e-4,-3.624895019521256e-4,-3.251391611854254e-4
6.9,-3.431130285665684e-4,-3.625283012455775e-4,-3.248878281866644e-4
7,-3.427710936122668e-4,-3.6233418663685123e-4,-3.244161689636369e-4
7.1,-3.422048920173448e-4,-3.619102018095823e-4,-3.237266545369679e-4
7.2,-3.414158303835798e-4,-3.612576363481083e-4,-3.228201900950409e-4
7.3,-3.404053214230228e-4,-3.603779904263966e-4,-3.2169777691552906e-4
7.4,-3.391747840264813e-4,-3.592727071464359e-4,-3.2036196950398384e-4
7.5,-3.3772564333318445e-4,-3.579431919906954e-4,-3.188139566655411e-4
7.6,-3.360593308016582e-4,-3.5639230556582516e-4,-3.170540696488066e-4
7.7,-3.341772842818385e-4,-3.5462041253247177e-4,-3.150837357394747e-4
7.8,-3.3208094808845096e-4,-3.5262724061352183e-4,-3.128959962707351e-4
7.9,-3.2977177307568726e-4,-3.5041662639147064e-4,-3.104980606057819e-4
8,-3.2725121671320866e-4,-3.479984179830225e-4,-3.078910120537465e-4
8.1,-3.2452074316350845e-4,-3.4536523141446337e-4,-3.0507544469955054e-4
8.2,-3.215818233606651e-4,-3.4252170461318354e-4,-3.0205575756818187e-4
8.3,-3.1843593509052037e-4,-3.394704270152329e-4,-2.9883515201354293e-4
8.4,-3.150845630723159e-4,-3.3620863752282853e-4,-2.954139965443416e-4
8.5,-3.11529199041825e-4,-3.3273644273138853e-4,-2.917936901236977e-4
8.6,-3.0777134183601466e-4,-3.290567198124828e-4,-2.87973159348639e-4
8.7,-3.038124974792766e-4,-3.251712594104347e-4,-2.839561991911261e-4
8.8,-2.996541792712657e-4,-3.210844447932858e-4,-2.7974445246571936e-4
8.9,-2.9529790787638564e-4,-3.1679469368215703e-4,-2.753388472448303e-4
9,-2.907452114149635e-4,-3.123030617947787e-4,-2.707431483819643e-4
9.1,-2.859976255561556e-4,-3.0760736704030955e-4,-2.6595702940618613e-4
9.2,-2.8105669361262796e-4,-3.0271621912105823e-4,-2.6098419302303367e-4
9.3,-2.7592396663705785e-4,-2.976244556351482e-4,-2.558255224035994e-4
9.4,-2.706010035205015e-4,-2.9233427585665777e-4,-2.5048117388731556e-4
9.5,-2.650893710926781e-4,-2.86855485320534e-4,-2.449501246899733e-4
9.6,-2.593906442242177e-4,-2.8118093354192824e-4,-2.3923393799262977e-4
9.7,-2.535064059309263e-4,-2.7531767002756324e-4,-2.3333647188214222e-4
9.8,-2.4743824748012e-4,-2.692675525845759e-4,-2.2725644588363354e-4
9.9,-2.4118776849908289e-4,-2.6302734702895265e-4,-2.2099685477770445e-4
