temp,mean,conf_lower,conf_upper
0,-311.4722806171236,-465.9782046562443,-162.10365251996538
0.1,-309.9968571915732,-463.94893126144075,-161.19701584985745
0.2,-308.5285167351766,-461.9052812854574,-160.29502803878233
0.3,-307.0672592479338,-459.8450354983645,-159.39768908674
0.4,-305.6130847298448,-457.794531848107,-158.5049989937305
0.5,-304.16599318090954,-455.753770334685,-157.61695775975383
0.6,-302.72598460112806,-453.72275095809846,-156.73356538480994
0.7,-301.29305899050036,-451.7014737183474,-155.85482186889888
0.8,-299.8672163490264,-449.68993861543174,-154.9807272120206
0.9,-298.44845667670626,-447.68814564935167,-154.11128141417515
1,-297.03677997353986,-445.696094820107,-153.24648447536254
1.1,-295.6321862395273,-443.7108949874916,-152.38641064316926
1.2,-294.23467547466845,-441.7334437064111,-151.53334288295267
1.3,-292.8442476789634,-439.76577169454345,-150.68490529028088
1.4,-291.4609028524122,-437.8078789518888,-149.84109786515384
1.5,-290.0846409950147,-435.859765478447,-149.0019206075716
1.6,-288.715462106771,-433.9214312742182,-148.16737351753412
1.7,-287.35336618768105,-431.9928763392022,-147.33745659504143
1.8,-285.9983532377449,-430.07410067339913,-146.51216984009352
1.9,-284.6504232569625,-428.165104276809,-145.69151325269038
2,-283.3095762453339,-426.2658871494318,-144.87548683283205
2.1,-281.97581220285906,-424.3764492912675,-144.06409058051847
2.2,-280.649131129538,-422.4666106990978,-143.28163575757222
2.3,-279.3295330253708,-420.5589031093067,-142.51018900190533
2.4,-278.01701789035724,-418.661292622085,-141.7431639105672
2.5,-276.7115857244975,-416.7737792374327,-140.9805604835578
2.6,-275.4132365277916,-414.8963629553498,-140.22237872087717
2.7,-274.1219703002394,-413.0290437758362,-139.4686186225253
2.8,-272.837787041841,-411.171821698892,-138.71928018850218
2.9,-271.56068675259644,-409.32469672451725,-137.9743634188078
3,-270.2906694325056,-407.48766885271186,-137.23386831344214
3.1,-269.0277350815685,-405.6607380834759,-136.49779487240528
3.2,-267.77188369978523,-403.8439044168093,-135.76614309569715
3.3,-266.52311528715575,-402.03716785271206,-135.03891298331777
3.4,-265.28142984368003,-400.2405283911842,-134.31610453526713
3.5,-264.0468273693581,-398.45398603222577,-133.59771775154525
3.6,-262.8193078641899,-396.6775407758367,-132.88375263215212
3.7,-261.5988713281755,-394.91119262201704,-132.17420917708776
3.8,-260.3855177613149,-393.16391113459633,-131.45775592287615
3.9,-259.179247163608,-391.458325110964,-130.73378273713894
4,-257.980059535055,-389.7625711315407,-130.01432449609365
4.1,-255.02921268395426,-385.60416372438686,-128.20633682258585
4.2,-252.09253177116108,-381.4654204056513,-126.38805430761282
4.3,-249.17001679667544,-377.34634117533375,-124.57993334917444
4.4,-246.2616677604974,-373.24692603343436,-122.781245531773
4.5,-243.36748466262685,-369.1671749799531,-120.99199085540845
4.6,-240.4874675030639,-365.10708801488994,-119.2121693200808
4.7,-237.62161628180849,-361.06666513824496,-117.44178092579008
4.8,-234.76993099886064,-357.10686033957614,-115.68082567253627
4.9,-231.93241165422035,-353.17908902657626,-113.92930356031935
5,-229.10905824788762,-349.27018157956223,-112.21204483620882
5.1,-226.2998707798624,-345.38013799853417,-110.53554158225083
5.2,-223.50484925014476,-341.508958283492,-108.86790274652441
5.3,-220.72399365873468,-337.6566424344357,-107.20398745337826
5.4,-217.95730400563215,-333.82319045136535,-105.49202886574946
5.5,-215.2047802908372,-329.9635198255259,-103.78958138881313
5.6,-212.46642251434974,-326.09161370879826,-102.09664502256925
5.7,-209.7422306761699,-322.23378160919003,-100.41321976701784
5.8,-207.0322047762976,-318.3732760957097,-98.73930562215891
5.9,-204.33634481473283,-314.5325582080138,-97.07490258799245
6,-201.6546507914756,-310.71162794610234,-95.42001066451846
6.1,-198.98712270652595,-306.9104853099752,-93.77462985173695
6.2,-196.3337605598838,-303.1291302996325,-92.13876014964791
6.3,-193.6945643515493,-299.367562915074,-90.5152079613853
6.4,-191.0695340815223,-295.6257831563001,-88.9065084437147
6.5,-188.45866974980285,-291.9037910233105,-87.28657346810883
6.6,-185.861971356391,-288.2007480138378,-85.68731587054816
6.7,-183.27943890128668,-284.54355676861155,-84.09758316567519
6.8,-180.71107238448988,-280.9345210416676,-82.51974979953276
6.9,-178.15687180600065,-277.3448484097196,-80.95276235650638
7,-175.616837165819,-273.7745388727672,-79.45137528025559
7.1,-173.09096846394485,-270.2319566881711,-77.97260055518247
7.2,-170.5792657003783,-266.73503142751764,-76.50601979183251
7.3,-168.0817288751193,-263.25734572449363,-75.04814121257809
7.4,-165.59835798816786,-259.7988995790992,-73.59896481741924
7.5,-163.12915303952394,-256.3552584153798,-72.15849060635594
7.6,-160.67411402918756,-252.9426354579457,-70.70263151866232
7.7,-158.23324095715878,-249.54462798540663,-69.2154252660454
7.8,-155.80653382343755,-246.16584146958874,-67.78981355854953
7.9,-153.39399262802385,-242.80627591049225,-66.32979009768027
