temp,mean,conf_lower,conf_upper
0,7.99815844534096e-6,-5.494428075776523e-5,7.480555732161028e-5
0.1,8.839670819825638e-6,-5.5317032958648274e-5,7.687357241836686e-5
0.2,9.716082387907086e-6,-5.562913121727081e-5,7.894580034652111e-5
0.3,1.0627194373048783e-5,-5.5880882424143786e-5,8.102221452104214e-5
0.4,1.15728072990329e-5,-5.607259454068652e-5,8.310276495971762e-5
0.5,1.2552720983887783e-5,-5.620457660869847e-5,8.518740151999753e-5
0.6,1.3566734533736485e-5,-5.627713875995755e-5,8.72760738978467e-5
0.7,1.4614646336565157e-5,-5.629059222594759e-5,8.936873162658529e-5
0.8,1.564206909351313e-5,-5.6504081457567355e-5,9.16354184883192e-5
0.9,1.6706799610015007e-5,-5.665258164539763e-5,9.39067291415083e-5
1,1.780861808907184e-5,-5.6736432105469793e-5,9.618260733153606e-5
1.1,1.8947303943009636e-5,-5.675597336503319e-5,9.84629966207843e-5
1.2,2.012263578647863e-5,-5.671154717349733e-5,1.0075106321714609e-4
1.3,2.13343914293598e-5,-5.6603496513523696e-5,1.0305203580184031e-4
1.4,2.2582347869576954e-5,-5.6432165612269874e-5,1.0535870669169146e-4
1.5,2.3812096323416218e-5,-5.6456732062639007e-5,1.0784321895701524e-4
1.6,2.5081412015682737e-5,-5.641220434511156e-5,1.1033569408404722e-4
1.7,2.6390053471971517e-5,-5.629895521510333e-5,1.1283334565223965e-4
1.8,2.773777832941031e-5,-5.611735879034744e-5,1.1533610382778287e-4
1.9,2.912434332862762e-5,-5.586779056347696e-5,1.1784389853123239e-4
2,3.054950430561214e-5,-5.5550627414783405e-5,1.2035773371218682e-4
2.1,3.201301618346148e-5,-5.5170933877760884e-5,1.2287930062371516e-4
2.2,3.351463296401851e-5,-5.4726611505945053e-5,1.2540506130069622e-4
2.3,3.5054107719393084e-5,-5.421758042942743e-5,1.2793653538154798e-4
2.4,3.657700762097044e-5,-5.390379109354086e-5,1.3064660496289298e-4
2.5,3.814108372823597e-5,-5.3518788578173015e-5,1.333648637521007e-4
2.6,3.969188531729575e-5,-5.332114049907149e-5,1.3625858543508148e-4
2.7,4.128714548778243e-5,-5.304591992033646e-5,1.3915833451088347e-4
2.8,4.292658045317722e-5,-5.2693564475354674e-5,1.4206402443258105e-4
2.9,4.455572038717694e-5,-5.252490765151727e-5,1.4514566274869176e-4
3,4.6232279211190376e-5,-5.227422610098793e-5,1.4823380772932443e-4
3.1,4.795595388390762e-5,-5.194131285216395e-5,1.5132764109328857e-4
3.2,4.97264402093002e-5,-5.1528199067955234e-5,1.5442866201521854e-4
3.3,5.1543432825803645e-5,-5.103486478715693e-5,1.575378378767435e-4
3.4,5.3352440232951384e-5,-5.070841726829596e-5,1.6082294692768153e-4
3.5,5.5211154577788975e-5,-5.0294552075580275e-5,1.6411456465477236e-4
3.6,5.711925094334404e-5,-4.9789796770077955e-5,1.674118667272302e-4
3.7,5.907640315550897e-5,-4.919497072043382e-5,1.7071527196495283e-4
3.8,6.1082283771088e-5,-4.8514461406485444e-5,1.7402470529504256e-4
3.9,6.308237910327715e-5,-4.800760993187353e-5,1.775112367250902e-4
4,6.513435900690534e-5,-4.74095890242834e-5,1.8100717448316455e-4
4.1,6.723787616571213e-5,-4.6722089556892736e-5,1.8450894670673119e-4
4.2,6.933839693562144e-5,-4.6200091742618085e-5,1.8818705913045198e-4
4.3,7.149357112909462e-5,-4.55820058565946e-5,1.918720746026769e-4
4.4,7.370303130150603e-5,-4.4876164102756715e-5,1.9559969647641766e-4
4.5,7.591222359349996e-5,-4.436032067029456e-5,1.9950503440717773e-4
4.6,7.817877751441237e-5,-4.374234318903409e-5,2.034294766418849e-4
4.7,8.044812026530303e-5,-4.329567187722784e-5,2.075438249016494e-4
4.8,8.277786234028567e-5,-4.275501127401765e-5,2.1166688043572948e-4
4.9,8.511341184878862e-5,-4.232809595579957e-5,2.1596776100322158e-4
5,8.745817515370484e-5,-4.2042755439416516e-5,2.2044758981607266e-4
5.1,8.981554099039481e-5,-4.188560591457088e-5,2.251069907414042e-4
5.2,9.224306536617647e-5,-4.159253974212714e-5,2.2978767697224425e-4
5.3,9.474028666169013e-5,-4.1184660395013364e-5,2.3447839134539455e-4
5.4,9.730674143191685e-5,-4.065094129380816e-5,2.3917923643765576e-4
5.5,9.994196438826771e-5,-3.9998700894971665e-5,2.4390427736520622e-4
5.6,1.0264548838040769e-4,-3.923902532700072e-5,2.4862879072621777e-4
5.7,1.054168443778083e-4,-3.8356369249630496e-5,2.5331114215729905e-4
5.8,1.0825556145102394e-4,-3.740337599927707e-5,2.579938877979771e-4
5.9,1.1116116675268677e-4,-3.6345792744733924e-5,2.626604389629846e-4
6,1.1413318549821377e-4,-3.5174642844633495e-5,2.6739830262403105e-4
6.1,1.1717114094622093e-4,-3.388941962137508e-5,2.7214782661113537e-4
6.2,1.2027455437863845e-4,-3.2491449797359675e-5,2.7693216779759485e-4
6.3,1.2344294508052065e-4,-3.098071489356665e-5,2.8175267866691257e-4
6.4,1.2667583031954495e-4,-2.9359847021905548e-5,2.865873774461085e-4
6.5,1.2997272532519296e-4,-2.7626978464405198e-5,2.9141342952767777e-4
6.6,1.3333314326760768e-4,-2.5768296266536716e-5,2.962472716266794e-4
6.7,1.3675659523611992e-4,-2.3799339393713312e-5,3.010815946947436e-4
