temp,mean,conf_lower,conf_upper
0,5.410785230418892e-29,6.334993454639515e-30,8.770411205568976e-29
0.1,1.001967090284604e-28,1.183021957316436e-29,1.6203397765339543e-28
0.2,1.854617475768873e-28,2.2082312177440095e-29,2.9922693649789363e-28
0.3,3.4313354282794592e-28,4.1200415893385446e-29,5.523367513303787e-28
0.4,6.345708875734525e-28,7.683589942833853e-29,1.0190982697969517e-27
0.5,1.1730201247963818e-27,1.43229505605027e-28,1.879478063259975e-27
0.6,2.1674013427918935e-27,2.6687429761013784e-28,3.464716763128819e-27
0.7,4.002966677634161e-27,4.970352127851175e-28,6.3842178477409836e-27
0.8,7.389815219547732e-27,9.252318992180271e-28,1.1758646869390574e-26
0.9,1.3636231205263392e-26,1.7218955655378487e-27,2.1647955776238184e-26
1,2.5151535922856884e-26,3.203144070118393e-27,3.9836991628932875e-26
1.1,4.637076373263195e-26,5.9599430114106e-27,7.327679722286407e-26
1.2,8.545427102045354e-26,1.1075299048264045e-26,1.347277104741955e-25
1.3,1.574103519649609e-25,2.057198577972594e-26,2.4760424700074344e-25
1.4,2.8982977625626374e-25,3.819482946406272e-26,4.548520560594901e-25
1.5,5.334124058113441e-25,7.088278088424378e-26,8.35205508835456e-25
1.6,9.812819825726454e-25,1.314876423354974e-25,1.5329495283060192e-24
1.7,1.804410488278071e-24,2.4381688576768265e-25,2.812379232502068e-24
1.8,3.3165600786722886e-24,4.538834451595906e-25,5.1574096754837725e-24
1.9,6.093286593762748e-24,8.406609766885306e-25,9.453688821555012e-24
2,1.118991414824047e-23,1.5563466649723582e-24,1.732140436967858e-23
2.1,2.0540618579751686e-23,2.8800557946221954e-24,3.172321717523671e-23
2.2,3.768878161550078e-23,5.327270853442957e-24,5.805662052254607e-23
2.3,6.91230185557836e-23,9.849590471886591e-24,1.06199695327476e-22
2.4,1.2672010114211998e-22,1.8202929698169822e-23,1.9418148727174417e-22
2.5,2.3220990761657536e-22,3.3625932418612387e-23,3.5489945509411186e-22
2.6,4.253325306699802e-22,6.207820202391061e-23,6.483498646158377e-22
2.7,7.787342467010343e-22,1.1445464378273426e-22,1.1839330677512526e-21
2.8,1.4251578458371126e-21,2.1097279468723785e-22,2.1610196222573103e-21
2.9,2.6070531250331766e-21,3.8910779259832617e-22,3.942795951480931e-21
3,4.767055548378675e-21,7.173388082699732e-22,7.190487725318634e-21
3.1,8.712928731332972e-21,1.3221205021742738e-21,1.3106976734483273e-20
3.2,1.591812559645868e-20,2.4383755418546126e-21,2.385517996143211e-20
3.3,2.9069241981392246e-20,4.4886974340771285e-21,4.3394602988690505e-20
3.4,5.306274344958836e-20,8.259463047690768e-21,7.890493943819647e-20
3.5,9.681889103385299e-20,1.533997853508382e-20,1.434129297533051e-19
3.6,1.765814652094661e-19,2.832366032644652e-20,2.6054831402163804e-19
3.7,3.219177577479446e-19,5.254754009061149e-20,4.731559050965103e-19
3.8,5.86623902613095e-19,9.744672803850218e-20,8.588879222475637e-19
3.9,1.0685375169428095e-18,1.8063178252861183e-19,1.5584223074816397e-18
4,1.9455177229993284e-18,3.346827166917019e-19,2.8265094451292782e-18
4.1,3.540757632877769e-18,6.162266528050223e-19,5.124276377571435e-18
4.2,6.4412921421504924e-18,1.1277705732487623e-18,9.286063811213297e-18
4.3,1.1712936194959581e-17,2.0630760084149326e-18,1.682999166419016e-17
4.4,2.1289954702904717e-17,3.7724551598946754e-18,3.051223993926901e-17
4.5,3.868121184680313e-17,6.8952104924068606e-18,5.529440090079376e-17
4.6,7.024929579835099e-17,1.259754017353498e-17,1.0016203286771994e-16
4.7,1.27526559231941e-16,2.300588545431812e-17,1.813604813342792e-16
4.8,2.314068802576741e-16,4.2030604722677296e-17,3.282463750607357e-16
4.9,4.1972906564212083e-16,7.678151832785351e-17,5.938423772272967e-16
5,7.60990381239935e-16,1.4143344034489633e-16,1.0738417012294723e-15
5.1,1.379135156407969e-15,2.5809159761925494e-16,1.941009773042035e-15
5.2,2.498343926626882e-15,4.714345705352649e-16,3.5069837127187943e-15
5.3,4.523926534459078e-15,8.594140692025281e-16,6.333715295671957e-15
5.4,8.188361003121454e-15,1.566028108291851e-15,1.1434107737787337e-14
5.5,1.4814831941491692e-14,2.8524162514838334e-15,2.0633132514418428e-14
5.6,2.6792607354205532e-14,5.193850682133049e-15,3.7217516615236934e-14
5.7,4.8434176945486064e-14,9.454219150155452e-15,6.710411320940744e-14
5.8,8.752008974481286e-14,1.7201988165492214e-14,1.209401797200845e-13
5.9,1.5808208728691306e-13,3.1285895606269985e-14,2.1787730052323554e-13
6,2.8541502840859953e-13,5.687687150993619e-14,3.9234982200448157e-13
6.1,5.150987205076875e-13,1.0335706363596264e-13,7.058688208171162e-13
6.2,9.292311383216373e-13,1.877423162695014e-13,1.270379871368831e-12
6.3,1.6756251773008213e-12,3.408803129579228e-13,2.285408134679705e-12
6.4,3.020299629650197e-12,6.186707725703656e-13,4.109743175147359e-12
6.5,5.441810326233753e-12,1.12236832595264e-12,7.386079619501392e-12
6.6,9.800701894871925e-12,2.035305093404019e-12,1.3268781531014826e-11
6.7,1.7643776824534984e-11,3.689284461645213e-12,2.3827005771048256e-11
6.8,3.1750218423331085e-11,6.684569804874553e-12,4.276903505002091e-11
6.9,5.711140600308989e-11,1.2106641165111243e-11,7.677786970991136e-11
7,1.0268810668268019e-10,2.1917597902296e-11,1.377841634694257e-10
7.1,1.8456051203918356e-10,3.966262982330766e-11,2.470709870920549e-10
7.2,3.3157284399875766e-10,7.167182131849405e-11,4.428599794535613e-10
7.3,5.954438711253397e-10,1.292344282405248e-10,7.934755294159678e-10
