unique_regime,DTR,min_temp,mean_performance,mean_temperature
1_28,10,28,2.352461201610791,32.79884326243478
2_16,8,16,0.7984095448846543,19.86388607804348
2_28,8,28,4.168516804114835,31.86388607804348
3_28,10,28,4.907702085333151,31.480016490956523
3_30,9,30,3.844345518298384,32.76874323143478
